X,sample_id,Strain,Promoter,mCherry,Terminator,BioRep,mCh_per_OD_at_max_gr
2,pCLN2-mCherry-tCLN2_biorep1,pCLN2-mCherry-tCLN2,pCLN2,mCherry,tCLN2,biorep1,43.2927405588142
3,pCLN2-mCherry-tHSP26_biorep1,pCLN2-mCherry-tHSP26,pCLN2,mCherry,tHSP26,biorep1,94.43584151907616
4,pCLN2-mCherry-tPAB1_biorep1,pCLN2-mCherry-tPAB1,pCLN2,mCherry,tPAB1,biorep1,39.58347300797236
5,pCLN2-mCherry-tPGK1_biorep1,pCLN2-mCherry-tPGK1,pCLN2,mCherry,tPGK1,biorep1,59.157746011731085
6,pCLN2-mCherry-tPMA1_biorep1,pCLN2-mCherry-tPMA1,pCLN2,mCherry,tPMA1,biorep1,42.34513308848532
7,pCLN2-mCherry-tRPS13_biorep1,pCLN2-mCherry-tRPS13,pCLN2,mCherry,tRPS13,biorep1,81.54867840638069
8,pCLN2-mCherry-tRPS3_biorep1,pCLN2-mCherry-tRPS3,pCLN2,mCherry,tRPS3,biorep1,58.80650690165167
9,pCLN2-mCherry-tSRO9_biorep1,pCLN2-mCherry-tSRO9,pCLN2,mCherry,tSRO9,biorep1,20.57760788503981
10,pCLN2-mCherry-tSUN4_biorep1,pCLN2-mCherry-tSUN4,pCLN2,mCherry,tSUN4,biorep1,20.56593574476851
11,pCLN2-mCherry-tTOS6_biorep1,pCLN2-mCherry-tTOS6,pCLN2,mCherry,tTOS6,biorep1,61.09795003989837
12,pHSP26-mCherry-tCLN2_biorep1,pHSP26-mCherry-tCLN2,pHSP26,mCherry,tCLN2,biorep1,12427.520669396918
13,pHSP26-mCherry-tHSP26_biorep1,pHSP26-mCherry-tHSP26,pHSP26,mCherry,tHSP26,biorep1,12852.877861132394
14,pHSP26-mCherry-tPAB1_biorep1,pHSP26-mCherry-tPAB1,pHSP26,mCherry,tPAB1,biorep1,10709.682915522855
15,pHSP26-mCherry-tPGK1_biorep1,pHSP26-mCherry-tPGK1,pHSP26,mCherry,tPGK1,biorep1,13171.236649813727
16,pHSP26-mCherry-tPMA1_biorep1,pHSP26-mCherry-tPMA1,pHSP26,mCherry,tPMA1,biorep1,4945.1475639441205
17,pHSP26-mCherry-tRPS13_biorep1,pHSP26-mCherry-tRPS13,pHSP26,mCherry,tRPS13,biorep1,9638.943299218692
18,pHSP26-mCherry-tRPS3_biorep1,pHSP26-mCherry-tRPS3,pHSP26,mCherry,tRPS3,biorep1,18111.23513321703
19,pHSP26-mCherry-tSRO9_biorep1,pHSP26-mCherry-tSRO9,pHSP26,mCherry,tSRO9,biorep1,4834.070358066135
20,pHSP26-mCherry-tSUN4_biorep1,pHSP26-mCherry-tSUN4,pHSP26,mCherry,tSUN4,biorep1,5534.165838077487
21,pPGK1-mCherry-tCLN2_biorep1,pPGK1-mCherry-tCLN2,pPGK1,mCherry,tCLN2,biorep1,6215.46557130115
22,pPGK1-mCherry-tHSP26_biorep1,pPGK1-mCherry-tHSP26,pPGK1,mCherry,tHSP26,biorep1,5075.065068715114
23,pPGK1-mCherry-tPAB1_biorep1,pPGK1-mCherry-tPAB1,pPGK1,mCherry,tPAB1,biorep1,4624.54481781903
