X,sample_id,Strain,Promoter,mCherry,Terminator,BioRep,mCh_per_OD_at_max_gr,norm_fluo_per_OD_at_max_gr,remove
21,pPGK1-mCherry-tCLN2_biorep1,pPGK1-mCherry-tCLN2,pPGK1,mCherry,tCLN2,biorep1,6215.46557130115,1.2770632870436294,FALSE
22,pPGK1-mCherry-tHSP26_biorep1,pPGK1-mCherry-tHSP26,pPGK1,mCherry,tHSP26,biorep1,5075.065068715114,1.0427504109329098,FALSE
23,pPGK1-mCherry-tPAB1_biorep1,pPGK1-mCherry-tPAB1,pPGK1,mCherry,tPAB1,biorep1,4624.54481781903,0.9501840752515376,FALSE
24,pPGK1-mCherry-tPGK1_biorep1,pPGK1-mCherry-tPGK1,pPGK1,mCherry,tPGK1,biorep1,5009.425465505276,1.0292637418372836,FALSE
25,pPGK1-mCherry-tPMA1_biorep1,pPGK1-mCherry-tPMA1,pPGK1,mCherry,tPMA1,biorep1,1231.5581094874435,0.2530426127286916,FALSE
26,pPGK1-mCherry-tRPS13_biorep1,pPGK1-mCherry-tRPS13,pPGK1,mCherry,tRPS13,biorep1,4755.505945290407,0.9770920592158869,FALSE
27,pPGK1-mCherry-tRPS3_biorep1,pPGK1-mCherry-tRPS3,pPGK1,mCherry,tRPS3,biorep1,5302.868671370642,1.0895561754038645,FALSE
28,pPGK1-mCherry-tSRO9_biorep1,pPGK1-mCherry-tSRO9,pPGK1,mCherry,tSRO9,biorep1,1694.5105570233216,0.34816333500007174,FALSE
29,pPGK1-mCherry-tSUN4_biorep1,pPGK1-mCherry-tSUN4,pPGK1,mCherry,tSUN4,biorep1,2251.728331176331,0.46265232284752744,FALSE
30,pPGK1-mCherry-tTOS6_biorep1,pPGK1-mCherry-tTOS6,pPGK1,mCherry,tTOS6,biorep1,2390.334890309283,0.49113117869212347,FALSE
21,pPGK1-mCherry-tCLN2_biorep2,pPGK1-mCherry-tCLN2,pPGK1,mCherry,tCLN2,biorep2,6644.358952351876,1.3651860486795264,FALSE
