...1,Strain,Promoter,mTurq,Terminator,mTurq_per_OD_at_max_gr
2,pCLN2-mTurq-tCLN2,pCLN2,mTurq,tCLN2,87.91411497893606
3,pCLN2-mTurq-tHSP26,pCLN2,mTurq,tHSP26,154.93293525021951
4,pCLN2-mTurq-tPAB1,pCLN2,mTurq,tPAB1,161.28983846816135
5,pCLN2-mTurq-tPGK1,pCLN2,mTurq,tPGK1,84.89224389880852
6,pCLN2-mTurq-tPMA1_long,pCLN2,mTurq,tPMA1,-11.946506694573465
7,pCLN2-mTurq-tRPS13,pCLN2,mTurq,tRPS13,71.544140470876
8,pCLN2-mTurq-tRPS3,pCLN2,mTurq,tRPS3,140.47740858421218
9,pCLN2-mTurq-tSRO9_long,pCLN2,mTurq,tSRO9,50.0730389720925
10,pCLN2-mTurq-tSUN4,pCLN2,mTurq,tSUN4,23.30353782616337
11,pCLN2-mTurq-tTOS6,pCLN2,mTurq,tTOS6,52.41377908192174
12,pHSP26-mTurq-tCLN2,pHSP26,mTurq,tCLN2,9460.34479346752
13,pHSP26-mTurq-tHSP26,pHSP26,mTurq,tHSP26,8876.734541372596
14,pHSP26-mTurq-tPAB1,pHSP26,mTurq,tPAB1,11215.69174934069
15,pHSP26-mTurq-tPGK1,pHSP26,mTurq,tPGK1,12799.488866372534
16,pHSP26-mTurq-tPMA1_long,pHSP26,mTurq,tPMA1,3541.453988308426
17,pHSP26-mTurq-tRPS13,pHSP26,mTurq,tRPS13,10531.339096238406
18,pHSP26-mTurq-tRPS3,pHSP26,mTurq,tRPS3,8652.540726969191
19,pHSP26-mTurq-tSRO9_long,pHSP26,mTurq,tSRO9,5499.19193111102
20,pHSP26-mTurq-tSUN4,pHSP26,mTurq,tSUN4,4602.50712450018
21,pHSP26-mTurq-tTOS6,pHSP26,mTurq,tTOS6,6909.049161039816
22,pPGK1-mTurq-tCLN2,pPGK1,mTurq,tCLN2,6884.730460041239
23,pPGK1-mTurq-tHSP26,pPGK1,mTurq,tHSP26,6583.8390926345755
24,pPGK1-mTurq-tPAB1,pPGK1,mTurq,tPAB1,9958.657519649534
25,pPGK1-mTurq-tPGK1,pPGK1,mTurq,tPGK1,8003.940397852199
