...1,Strain,Promoter,mTurq,Terminator,mTurq_per_OD_at_max_gr,norm_fluo_per_OD_at_max_gr,remove
22,pPGK1-mTurq-tCLN2,pPGK1,mTurq,tCLN2,6884.730460041239,0.9493117670937309,FALSE
23,pPGK1-mTurq-tHSP26,pPGK1,mTurq,tHSP26,6583.8390926345755,0.907822892931712,FALSE
24,pPGK1-mTurq-tPAB1,pPGK1,mTurq,tPAB1,9958.657519649534,1.373164980492663,FALSE
25,pPGK1-mTurq-tPGK1,pPGK1,mTurq,tPGK1,8003.940397852199,1.1036357700418176,FALSE
26,pPGK1-mTurq-tPMA1_long,pPGK1,mTurq,tPMA1,1280.6674568380995,0.17658682406909046,FALSE
27,pPGK1-mTurq-tRPS13,pPGK1,mTurq,tRPS13,6171.679245101378,0.8509915913349784,FALSE
28,pPGK1-mTurq-tRPS3,pPGK1,mTurq,tRPS3,7470.65313658979,1.0301026266172657,FALSE
29,pPGK1-mTurq-tSRO9_long,pPGK1,mTurq,tSRO9,3071.031191318849,0.42345391209598626,FALSE
30,pPGK1-mTurq-tSUN4,pPGK1,mTurq,tSUN4,2703.1336641442213,0.37272578938172857,FALSE
31,pPGK1-mTurq-tTOS6,pPGK1,mTurq,tTOS6,4524.377844765625,0.6238508757521429,FALSE
22,pPGK1-mTurq-tCLN2,pPGK1,mTurq,tCLN2,6125.268565664771,0.84459218261975,FALSE
23,pPGK1-mTurq-tHSP26,pPGK1,mTurq,tHSP26,5478.768450604614,0.755448508772803,FALSE
24,pPGK1-mTurq-tPAB1,pPGK1,mTurq,tPAB1,9692.360505317689,1.3364462025079058,FALSE
25,pPGK1-mTurq-tPGK1,pPGK1,mTurq,tPGK1,7353.903922728167,1.0140044796874705,FALSE
26,pPGK1-mTurq-tPMA1_long,pPGK1,mTurq,tPMA1,1034.6578487321488,0.14266540664417396,FALSE
27,pPGK1-mTurq-tRPS13,pPGK1,mTurq,tRPS13,5897.393048786334,0.8131712125671373,FALSE
28,pPGK1-mTurq-tRPS3,pPGK1,mTurq,tRPS3,6772.64358532666,0.9338564940484193,FALSE
29,pPGK1-mTurq-tSRO9_long,pPGK1,mTurq,tSRO9,2860.6342400840276,0.39444300125102266,FALSE
30,pPGK1-mTurq-tSUN4,pPGK1,mTurq,tSUN4,2520.7070930495224,0.34757161790386343,FALSE
31,pPGK1-mTurq-tTOS6,pPGK1,mTurq,tTOS6,3521.3178701608085,0.48554239112522446,FALSE
22,pPGK1-mTurq-tCLN2,pPGK1,mTurq,tCLN2,6393.903253898508,0.8816332944061823,FALSE
23,pPGK1-mTurq-tHSP26,pPGK1,mTurq,tHSP26,6059.686135558168,0.8355492472461512,FALSE
24,pPGK1-mTurq-tPAB1,pPGK1,mTurq,tPAB1,18003.76370258202,2.4824769588341633,FALSE
25,pPGK1-mTurq-tPGK1,pPGK1,mTurq,tPGK1,7316.184690693483,1.008803504714799,FALSE
26,pPGK1-mTurq-tPMA1_long,pPGK1,mTurq,tPMA1,1081.3572598639046,0.1491046275782435,FALSE
27,pPGK1-mTurq-tRPS13,pPGK1,mTurq,tRPS13,5569.985776430603,0.7680261516118395,FALSE
28,pPGK1-mTurq-tRPS3,pPGK1,mTurq,tRPS3,6563.940148776193,0.9050790961095796,FALSE
29,pPGK1-mTurq-tSRO9_long,pPGK1,mTurq,tSRO9,2757.277333479254,0.38019147343598436,FALSE
30,pPGK1-mTurq-tSUN4,pPGK1,mTurq,tSUN4,2432.9591889217018,0.33547236167156447,FALSE
31,pPGK1-mTurq-tTOS6,pPGK1,mTurq,tTOS6,4117.4618572244335,0.5677426319460223,FALSE
22,pPGK1-mTurq-tCLN2,pPGK1,mTurq,tCLN2,5603.383699241614,0.7726312761414047,FALSE
23,pPGK1-mTurq-tHSP26,pPGK1,mTurq,tHSP26,5148.242290734349,0.7098733951618532,FALSE
24,pPGK1-mTurq-tPAB1,pPGK1,mTurq,tPAB1,8097.605317608857,1.1165509031766525,FALSE
25,pPGK1-mTurq-tPGK1,pPGK1,mTurq,tPGK1,6688.403509734035,0.9222409202093143,FALSE
26,pPGK1-mTurq-tPMA1_long,pPGK1,mTurq,tPMA1,1063.7781248663634,0.14668070120881593,FALSE
27,pPGK1-mTurq-tRPS13,pPGK1,mTurq,tRPS13,5439.600094310259,0.750047719047808,FALSE
28,pPGK1-mTurq-tRPS3,pPGK1,mTurq,tRPS3,5970.393329249874,0.8232369697739584,FALSE
29,pPGK1-mTurq-tSRO9_long,pPGK1,mTurq,tSRO9,2885.987213340442,0.39793883539918806,FALSE
30,pPGK1-mTurq-tSUN4,pPGK1,mTurq,tSUN4,2513.834650290538,0.3466240004455406,FALSE
31,pPGK1-mTurq-tTOS6,pPGK1,mTurq,tTOS6,4013.241128996387,0.5533719947429836,FALSE
22,pPGK1-mTurq-tCLN2,pPGK1,mTurq,tCLN2,12475.923645837987,1.720262135329257,FALSE
23,pPGK1-mTurq-tHSP26,pPGK1,mTurq,tHSP26,5585.40882545993,0.7701527827142453,FALSE
24,pPGK1-mTurq-tPAB1,pPGK1,mTurq,tPAB1,7783.668675579551,1.0732632610343735,FALSE
25,pPGK1-mTurq-tPGK1,pPGK1,mTurq,tPGK1,6945.134323622613,0.9576406477679322,FALSE
26,pPGK1-mTurq-tPMA1_long,pPGK1,mTurq,tPMA1,1088.9984755744124,0.15015824849063622,FALSE
27,pPGK1-mTurq-tRPS13,pPGK1,mTurq,tRPS13,5680.693269535358,0.7832912264785704,FALSE
28,pPGK1-mTurq-tRPS3,pPGK1,mTurq,tRPS3,6385.489142074383,0.8804731015111018,FALSE
29,pPGK1-mTurq-tSRO9_long,pPGK1,mTurq,tSRO9,2615.259864632049,0.360609173868557,FALSE
30,pPGK1-mTurq-tSUN4,pPGK1,mTurq,tSUN4,2425.3510698627097,0.3344233043424402,FALSE
31,pPGK1-mTurq-tTOS6,pPGK1,mTurq,tTOS6,3801.05426230964,0.5241142786221303,FALSE
22,pPGK1-mTurq-tCLN2,pPGK1,mTurq,tCLN2,6321.34535846577,0.8716285361473611,FALSE
23,pPGK1-mTurq-tHSP26,pPGK1,mTurq,tHSP26,6156.4140435368145,0.8488867252757469,FALSE
24,pPGK1-mTurq-tPAB1,pPGK1,mTurq,tPAB1,9185.382764034755,1.2665407881641164,FALSE
25,pPGK1-mTurq-tPGK1,pPGK1,mTurq,tPGK1,7206.465312277155,0.9936746775786662,FALSE
26,pPGK1-mTurq-tPMA1_long,pPGK1,mTurq,tPMA1,1028.0406384241635,0.14175298230931238,FALSE
27,pPGK1-mTurq-tRPS13,pPGK1,mTurq,tRPS13,5846.445947828404,0.8061462923150836,FALSE
28,pPGK1-mTurq-tRPS3,pPGK1,mTurq,tRPS3,7092.561258910867,0.9779688400287614,FALSE
29,pPGK1-mTurq-tSRO9_long,pPGK1,mTurq,tSRO9,3198.9443023313956,0.44109141034730487,FALSE
30,pPGK1-mTurq-tSUN4,pPGK1,mTurq,tSUN4,2554.1370414026587,0.352181158325113,FALSE
31,pPGK1-mTurq-tTOS6,pPGK1,mTurq,tTOS6,4170.227976468973,0.5750183703635887,FALSE
42,pRPS3-mTurq-tCLN2,pRPS3,mTurq,tCLN2,4773.493333890776,1.2041238360820716,FALSE
43,pRPS3-mTurq-tHSP26,pRPS3,mTurq,tHSP26,4272.08933775327,1.077643612684783,FALSE
44,pRPS3-mTurq-tPAB1,pRPS3,mTurq,tPAB1,5765.552070037618,1.4543727601785477,FALSE
45,pRPS3-mTurq-tPGK1,pRPS3,mTurq,tPGK1,4216.861357241348,1.0637122372535162,FALSE
46,pRPS3-mTurq-tPMA1_long,pRPS3,mTurq,tPMA1,791.6036442982818,0.19968370125533835,FALSE
