promoter,terminator,label,site,max_rel_counts,p.value,p.adj
pPGK1,tRPS3,WT,1,0.0013025620690035877,0.001953125,0.015625
pPGK1,tRPS3,mod_HTH,1,0.10063111976701403,0.130859375,0.421875
pPGK1,tRPS3,mod_NTN,1,0.10499221496718444,0.001953125,0.015625
pPGK1,tRPS3,mod_NAA,1,0.12463290018908155,0.322265625,0.64453125
pRPS3,tRPS3,WT,1,0.001320252541404116,0.001953125,0.015625
pRPS3,tRPS3,mod_HTH,1,0.1154886869729098,0.130859375,0.5234375
pRPS3,tRPS3,mod_NTN,1,0.08097448636019297,0.009765625,0.05859375
pRPS3,tRPS3,mod_NAA,1,0.17584677394563325,0.322265625,0.966796875
pTSA1,tTSA1,WT,1,0.17138723662894856,0.013671875,0.068359375
pTSA1,tTSA1,mod_HTH,1,0.16023141160476778,0.00390625,0.03125
pTSA1,tTSA1,mod_NTN,1,0.13746994453384667,0.00390625,0.03125
pTSA1,tTSA1,mod_NAA,1,0.1493467128541324,0.00390625,0.03125
pPGK1,tRPS3,WT,2,0.1705849557440537,0.625,0.64453125
pPGK1,tRPS3,mod_HTH,2,0.3168775782241604,0.001953125,0.015625
pPGK1,tRPS3,mod_NTN,2,0.3934205791785781,0.001953125,0.015625
pPGK1,tRPS3,mod_NAA,2,0.22187452813227992,0.10546875,0.421875
pRPS3,tRPS3,WT,2,0.16890486104399155,0.375,0.966796875
pRPS3,tRPS3,mod_HTH,2,0.32632055507006813,0.083984375,0.419921875
pRPS3,tRPS3,mod_NTN,2,0.38910688050090636,0.001953125,0.015625
pRPS3,tRPS3,mod_NAA,2,0.2049484992450772,0.625,0.966796875
pTSA1,tTSA1,WT,2,0.39967953101142817,0.556640625,1
pTSA1,tTSA1,mod_HTH,2,0.318219724947414,0.275390625,0.826171875
pTSA1,tTSA1,mod_NTN,2,0.34817341366203935,0.625,1
pTSA1,tTSA1,mod_NAA,2,0.36469318867893663,0.16015625,0.640625
